news_id,all_entity_ids
N9455,['Q60286853']
N35905,"['Q17612737', 'Q155223', 'Q2447626']"
N24660,['Q20716']
N61017,['Q822']
N3808,"['Q191477', 'Q904840']"
N44738,"['Q29913251', 'Q320484', 'Q23197', 'Q1215884', 'Q330120', 'Q21621996']"
N12158,['Q7260981']
N12889,['Q371820']
N48869,"['Q744913', 'Q17107984', 'Q1587716', 'Q779', 'Q741266', 'Q23768', 'Q1143382']"
N62927,"['Q29552', 'Q22686']"
N48665,"['Q161337', 'Q49233']"
N8948,[]
N4267,['Q1546']
N42760,"['Q32522', 'Q44063']"
N31070,"['Q6106', 'Q5289230', 'Q824']"
N31328,['Q5211451']
N64908,"['Q461731', 'Q7747', 'Q1519']"
N17949,"['Q48340', 'Q130838']"
N30184,[]
N56245,[]
N51597,"['Q84', 'Q3258950']"
N59303,['Q13479957']
N26650,[]
N30996,"['Q7016928', 'Q1400', 'Q490914']"
N51389,"['Q750790', 'Q159', 'Q46', 'Q22686']"
N25091,[]
N38412,"['Q17088695', 'Q18432', 'Q6764380', 'Q4792248']"
N58211,"['Q28203630', 'Q166032', 'Q22686', 'Q282675']"
N21408,['Q749702']
N55573,['Q744530']
N56444,"['Q182442', 'Q2404977', 'Q15416', 'Q22908690', 'Q145']"
N42872,"['Q544553', 'Q223514', 'Q4910371']"
N63987,"['Q193390', 'Q24204']"
N60918,"['Q1815011', 'Q7437504']"
N50686,['Q1636604']
N13052,"['Q157661', 'Q1408', 'Q7501097']"
N11097,"['Q11701', 'Q12439', 'Q359442', 'Q7294939', 'Q66096']"
N36577,"['Q169637', 'Q918347', 'Q348618', 'Q131371', 'Q15500017', 'Q3046137']"
N6217,"['Q380613', 'Q422917', 'Q2287947']"
N51972,"['Q32096', 'Q16565', 'Q1454', 'Q18421895', 'Q330120', 'Q1991889', 'Q21621996']"
N5405,"['Q472741', 'Q193643']"
N56428,"['Q2101438', 'Q212648', 'Q250949', 'Q6774492']"
N36977,"['Q1044833', 'Q208445']"
N4840,"['Q30', 'Q4014532', 'Q22686', 'Q51694', 'Q1439']"
N46197,"['Q64736732', 'Q932577', 'Q494556', 'Q1426493']"
N53195,"['Q35525', 'Q186068', 'Q6386365', 'Q732029']"
N23813,[]
N48249,"['Q11218', 'Q16568', 'Q6256043']"
N54399,"['Q531300', 'Q30']"
N4099,"['Q172435', 'Q450675', 'Q272223', 'Q7694001']"
N53281,"['Q634937', 'Q152108']"
N52086,"['Q2267564', 'Q31885770', 'Q209330', 'Q48817408', 'Q50377216']"
N47228,"['Q858', 'Q30', 'Q2429253']"
N46011,"['Q265538', 'Q16555', 'Q825838']"
N54144,['Q2028144']
N29554,"['Q962254', 'Q1581']"
N17545,"['Q528', 'Q975691', 'Q23548']"
N19744,['Q37320']
N12556,"['Q123766', 'Q7310']"
N22500,"['Q7687701', 'Q13959']"
N60789,"['Q3154693', 'Q128334']"
N41070,[]
N15282,"['Q159', 'Q135622', 'Q128269']"
N30524,"['Q271880', 'Q213837']"
N2582,"['Q37320', 'Q1397', 'Q251267', 'Q7080789']"
N17459,"['Q246992', 'Q568532']"
N24356,"['Q1428', 'Q23685']"
N4530,"['Q550629', 'Q1084556', 'Q7889975', 'Q30', 'Q22686']"
N40137,"['Q15', 'Q8092', 'Q1329523', 'Q1011', 'Q558163']"
N43347,"['Q599820', 'Q550687']"
N50994,[]
N47259,"['Q3303463', 'Q1345']"
N54385,"['Q1593292', 'Q380613', 'Q722750', 'Q190464', 'Q27306341', 'Q2070623']"
N52479,"['Q5246530', 'Q912994', 'Q22686', 'Q2429253', 'Q170581']"
N33969,"['Q463198', 'Q3304418']"
N34331,[]
N4247,[]
N51016,"['Q925668', 'Q6849362', 'Q221150', 'Q1215884', 'Q1142586', 'Q271880']"
N34307,['Q217776']
N34131,"['Q3860113', 'Q193390', 'Q272059', 'Q7642194']"
N50812,"['Q16555', 'Q16563', 'Q34404', 'Q49042', 'Q16557']"
N2937,"['Q30', 'Q3336854']"
N32715,[]
N18848,"['Q486168', 'Q169950']"
N19154,"['Q541742', 'Q22686']"
N65043,['Q812']
N49475,[]
N12227,['Q18511815']
N9493,"['Q825316', 'Q29468', 'Q3109740', 'Q22686']"
N58684,"['Q1474157', 'Q34404', 'Q33977478']"
N63277,"['Q32620', 'Q782', 'Q29468', 'Q715618', 'Q43', 'Q26436159']"
N28596,"['Q852', 'Q490595', 'Q2', 'Q23548', 'Q185339']"
N55549,"['Q10993', 'Q910409', 'Q60987711']"
N19707,"['Q622747', 'Q1215884']"
N11385,"['Q2495362', 'Q1167934']"
N18872,['Q324523']
N33549,"['Q6784186', 'Q345431', 'Q4766352']"
N38676,['Q7426870']
N6603,[]
N24651,"['Q35886', 'Q27401']"
N33170,"['Q19868309', 'Q29007106', 'Q19921046']"
N5580,"['Q212', 'Q6279', 'Q22686', 'Q1899']"
N29546,[]
N42563,"['Q5145011', 'Q193390']"
N36440,[]
N51583,"['Q38952', 'Q5399026', 'Q7694001']"
N31715,"['Q3240330', 'Q650865', 'Q7405934', 'Q7646608']"
N42208,"['Q159241', 'Q934866']"
N64684,"['Q432931', 'Q1159065']"
N8784,"['Q99', 'Q337758', 'Q330120', 'Q159260']"
N5861,"['Q2524302', 'Q825838']"
N58774,[]
N54704,[]
N55481,"['Q1197414', 'Q251868']"
N54363,"['Q15262098', 'Q931300', 'Q523630', 'Q5569077', 'Q157376', 'Q121783']"
N51083,"['Q812', 'Q3046152', 'Q49255', 'Q186471']"
N3078,"['Q212654', 'Q55541', 'Q373983', 'Q7929512', 'Q4908389']"
N43705,['Q5529504']
N31609,[]
N29095,"['Q2821724', 'Q5774966', 'Q2429253']"
N43041,"['Q44068', 'Q16557', 'Q132893']"
N50063,[]
N8465,['Q16555']
N47340,"['Q348618', 'Q572134']"
N10221,"['Q7414', 'Q501043', 'Q578478', 'Q2153988']"
N60474,[]
N20289,['Q139289']
N18608,['Q43380']
N40522,"['Q9584', 'Q1968']"
N29725,['Q7365497']
N29799,"['Q6952928', 'Q6460028', 'Q812']"
N19238,"['Q29468', 'Q22686']"
N3384,"['Q501542', 'Q1612', 'Q2077283', 'Q79628', 'Q5465387']"
N41461,"['Q16', 'Q642707']"
N61400,"['Q5472399', 'Q16558', 'Q1439']"
N6742,['Q7565075']
N18873,"['Q2887576', 'Q30']"
N25435,"['Q212', 'Q5585845', 'Q458']"
N10528,"['Q57400028', 'Q2436475', 'Q52']"
N56704,['Q7687701']
N51436,[]
N40893,"['Q858', 'Q2821724', 'Q30', 'Q22686']"
N40715,"['Q5370765', 'Q49255', 'Q5953731']"
N996,['Q918151']
N44637,['Q8646']
N56842,[]
N63326,"['Q212', 'Q846570']"
N10027,"['Q7857806', 'Q1261', 'Q16554', 'Q16567']"
N29536,[]
N54739,"['Q501053', 'Q13415123', 'Q22686']"
N12421,['Q1393']
N46670,['Q6081679']
N50290,"['Q6342141', 'Q7170501']"
N52906,['Q30599007']
N16673,['Q10928179']
N58844,"['Q2074898', 'Q2112717']"
N52516,"['Q18159104', 'Q19667998', 'Q41819', 'Q1581', 'Q595564', 'Q223522']"
N2902,"['Q386147', 'Q126793', 'Q3884']"
N43979,[]
N34388,"['Q576548', 'Q285450']"
N53323,[]
N6253,[]
N31470,"['Q755271', 'Q7949496', 'Q779', 'Q1030044', 'Q22686', 'Q11696']"
N45143,"['Q848117', 'Q16555', 'Q753529', 'Q6483473']"
N29194,"['Q39681', 'Q47138769', 'Q5146372']"
N57444,"['Q8461', 'Q509255', 'Q243007']"
N7680,[]
N5486,[]
N61196,"['Q517545', 'Q265538', 'Q22686']"
N23112,['Q520357']
N14723,['Q1509']
N20974,"['Q99', 'Q63327', 'Q251868', 'Q4963341', 'Q206464']"
N52206,"['Q27809653', 'Q99']"
N12897,['Q49233']
N13050,"['Q869847', 'Q1317143', 'Q42332']"
N20913,"['Q11223', 'Q7692294']"
N818,"['Q846849', 'Q51689']"
N37138,"['Q2300124', 'Q27650', 'Q1187243', 'Q505549', 'Q213205', 'Q16914096', 'Q1845059']"
N63112,[]
N39258,['Q36844']
N6969,"['Q26923572', 'Q14950655', 'Q1035067', 'Q18648942']"
N60764,"['Q35525', 'Q22686', 'Q1235731']"
N11532,"['Q16563', 'Q7700202']"
N36142,['Q494720']
N44006,"['Q16554', 'Q1261']"
N34643,['Q622899']
N20272,"['Q223522', 'Q221150']"
N44195,['Q1297']
N29051,"['Q99', 'Q108067', 'Q48834885', 'Q41399', 'Q1066823']"
N9690,"['Q186068', 'Q22686', 'Q311135']"
N44631,"['Q517545', 'Q265538', 'Q16555']"
N62375,"['Q915496', 'Q1377145']"
N16969,['Q122020']
N42782,"['Q848117', 'Q213417']"
N2175,"['Q818897', 'Q1397']"
N14757,"['Q204862', 'Q23691']"
N14952,"['Q524757', 'Q550258', 'Q177054', 'Q752941', 'Q38076']"
N39859,"['Q1166', 'Q43196', 'Q648037', 'Q30']"
N46018,"['Q188217', 'Q1327077']"
N24166,['Q4965230']
N9945,"['Q29643', 'Q79984']"
N36122,"['Q22686', 'Q223']"
N48978,"['Q519504', 'Q5092', 'Q934898', 'Q11701']"
N32320,[]
N31572,"['Q204862', 'Q1215884']"
N58839,"['Q624327', 'Q169950', 'Q2494928', 'Q7413436']"
N4417,"['Q37320', 'Q361909', 'Q600669']"
N22834,"['Q4773428', 'Q918', 'Q22686']"
N8654,['Q3474653']
N7628,"['Q1753080', 'Q1059534', 'Q2092522', 'Q1714356', 'Q966556']"
N22983,['Q28127443']
N45604,"['Q1497', 'Q55241']"
N46194,"['Q5331214', 'Q29652910']"
N60220,"['Q59660262', 'Q17020496', 'Q1097511']"
N3818,"['Q7687701', 'Q1628963']"
N18114,['Q422917']
N6599,"['Q276089', 'Q458', 'Q34111', 'Q38', 'Q13498', 'Q20900441']"
N12467,"['Q29468', 'Q1204', 'Q17507684', 'Q30', 'Q22686', 'Q18121212', 'Q2429253', 'Q164746', 'Q349955']"
N7356,"['Q165529', 'Q298573', 'Q161337', 'Q952921', 'Q161345', 'Q172339', 'Q159729', 'Q169138']"
N12473,"['Q1330910', 'Q41720']"
N35702,['Q984599']
N64170,"['Q7282327', 'Q818897', 'Q94639', 'Q1397', 'Q570990', 'Q928714']"
N27491,"['Q35525', 'Q22686', 'Q3044717', 'Q212648', 'Q1456']"
N47518,"['Q99', 'Q844837']"
N16040,[]
N56580,"['Q23733', 'Q2823936', 'Q1185516', 'Q2777013']"
N6018,"['Q2859108', 'Q223243', 'Q337377']"
N27756,"['Q32055', 'Q191485']"
N26467,"['Q10993', 'Q910409', 'Q60987711']"
N64820,['Q1760180']
N17993,"['Q193753', 'Q3979393', 'Q1215884', 'Q6346']"
N20888,['Q215546']
N9283,"['Q106175', 'Q7100951', 'Q33659', 'Q963713', 'Q28848']"
N10286,"['Q7888194', 'Q946', 'Q180589', 'Q458', 'Q735587', 'Q145']"
N20335,['Q13479957']
N35218,['Q2813']
N16450,[]
N45605,"['Q175074', 'Q325374']"
N23435,"['Q30', 'Q7173106']"
N40087,[]
N16422,"['Q889130', 'Q271880']"
N14447,"['Q7117418', 'Q473239', 'Q14213']"
N16370,"['Q223514', 'Q272223', 'Q128468']"
N44649,"['Q287617', 'Q28451487', 'Q13794', 'Q928']"
N41439,['Q782']
N58921,"['Q16555', 'Q4941248', 'Q6843062']"
N20546,"['Q263772', 'Q231106', 'Q258053', 'Q37836', 'Q941662', 'Q20372160']"
N39445,"['Q335762', 'Q440324', 'Q671294', 'Q65039', 'Q169138', 'Q2627006']"
N64203,[]
N44420,"['Q636791', 'Q379060', 'Q4731296', 'Q978705']"
N6075,"['Q848117', 'Q1163715', 'Q1186457', 'Q28406264', 'Q213417', 'Q926404', 'Q1069698', 'Q265538', 'Q634857']"
N15783,"['Q265538', 'Q22686']"
N27944,['Q113275']
N6721,"['Q4918', 'Q8092']"
N49457,"['Q811504', 'Q1408', 'Q811493', 'Q495998']"
N38569,"['Q848117', 'Q60741604', 'Q3186148', 'Q48340', 'Q265538', 'Q316997']"
N28350,"['Q724759', 'Q7953804', 'Q20979434', 'Q2583112']"
N25855,"['Q26923572', 'Q56860229', 'Q47138769']"
N51257,[]
N10155,"['Q16555', 'Q725793', 'Q7368535', 'Q933916', 'Q14512137']"
N97,"['Q191477', 'Q18706057', 'Q27671277']"
N12459,['Q7987225']
N10034,"['Q55223040', 'Q359442', 'Q174908']"
N19462,"['Q271880', 'Q213837']"
N39647,['Q534238']
N5715,"['Q2614593', 'Q155223']"
N64837,[]
N51892,"['Q1813203', 'Q29552', 'Q314459', 'Q22686', 'Q1227']"
N13607,"['Q212', 'Q786242', 'Q30', 'Q1235731']"
N26194,"['Q6476168', 'Q3493922', 'Q5211353', 'Q7055091', 'Q179295', 'Q1066823', 'Q16557']"
N38119,"['Q5092', 'Q52']"
N59401,"['Q22958459', 'Q164177']"
N52574,"['Q43', 'Q24887436']"
N6488,"['Q99', 'Q323414', 'Q65', 'Q1432360', 'Q40469']"
N63100,['Q328473']
N5831,"['Q44294', 'Q598084', 'Q11690', 'Q30030987']"
N51322,"['Q1826885', 'Q493378', 'Q17332507']"
N14290,"['Q52286175', 'Q223243', 'Q504309', 'Q18719509', 'Q23302933']"
N11383,['Q101362']
N46348,['Q6387818']
N32822,"['Q866', 'Q30133334', 'Q24451685']"
N4930,"['Q355522', 'Q1813203']"
N2514,[]
N35765,[]
N31731,"['Q62', 'Q18419', 'Q4014532']"
N55330,"['Q219714', 'Q16204368']"
N19206,"['Q7949648', 'Q116947']"
N15181,[]
N27578,"['Q918', 'Q328473', 'Q459477']"
N22778,"['Q517545', 'Q61']"
N16823,"['Q5085831', 'Q1415', 'Q944993', 'Q5440355', 'Q2598396']"
N12654,['Q55931']
N56692,"['Q7687701', 'Q262515']"
N29863,['Q7686852']
N14826,"['Q543127', 'Q1603']"
N61685,"['Q1163715', 'Q22686', 'Q7340093']"
N9244,[]
N42247,"['Q501758', 'Q13560902', 'Q3713655']"
N59698,"['Q165529', 'Q298573', 'Q29165842', 'Q161337', 'Q172339', 'Q155223', 'Q159729', 'Q169138']"
N64962,"['Q2750084', 'Q2112717', 'Q16554', 'Q49258']"
N12567,"['Q6532628', 'Q30', 'Q35657']"
N61580,"['Q14709662', 'Q7738248', 'Q7899317', 'Q489420', 'Q52']"
N38448,['Q5243550']
N48745,"['Q1456', 'Q960774', 'Q7173106', 'Q55290']"
N56632,[]
N5243,"['Q193390', 'Q27973976', 'Q276539']"
N42437,['Q5287']
N39253,"['Q1522', 'Q285450', 'Q186471']"
N40845,"['Q3564859', 'Q2480679', 'Q1727644']"
N19546,"['Q19667998', 'Q223507', 'Q161238', 'Q1215884', 'Q11329045', 'Q223522']"
N57997,"['Q795406', 'Q432931', 'Q223507', 'Q27048977']"
N51361,"['Q488668', 'Q3569700']"
N62851,"['Q265538', 'Q825838']"
N1640,"['Q127530', 'Q6327023', 'Q932780', 'Q1706651', 'Q468557']"
N42769,"['Q431714', 'Q17109505', 'Q693032']"
N33867,"['Q148', 'Q17427']"
N43830,"['Q646740', 'Q2056505']"
N36445,"['Q28127443', 'Q193390']"
N42406,['Q223514']
N22864,"['Q3023782', 'Q223507']"
N21993,[]
N35459,['Q1770624']
N64150,[]
N32815,"['Q47596', 'Q1297', 'Q1204', 'Q2740768']"
N19148,"['Q5092', 'Q934898']"
N33051,['Q16568']
N29853,['Q38022']
N776,"['Q18421895', 'Q591678', 'Q330120']"
N60165,"['Q16565', 'Q7887858']"
N10225,"['Q15222821', 'Q7128226']"
N20832,"['Q780442', 'Q193326']"
N36726,[]
N9871,[]
N33037,['Q7141829']
N4411,['Q193326']
N64140,[]
N64031,"['Q431248', 'Q32096', 'Q221150', 'Q41819']"
N13398,['Q1408']
N8442,"['Q3856893', 'Q601669']"
N57880,"['Q35525', 'Q3483312', 'Q1588658', 'Q30', 'Q824', 'Q9630', 'Q4744081']"
N3436,"['Q37320', 'Q5600502', 'Q859230', 'Q7786493']"
N20737,[]
N44559,[]
N51184,"['Q34600', 'Q926312']"
N11607,"['Q952097', 'Q1166']"
N57233,"['Q844123', 'Q3966429', 'Q983657']"
N49266,['Q6181926']
N53315,"['Q35525', 'Q60671620', 'Q11268']"
N21057,"['Q737463', 'Q3601035', 'Q159', 'Q25271', 'Q23548', 'Q190795']"
N31533,"['Q755999', 'Q23197', 'Q328941']"
N24587,['Q591678']
N45296,"['Q18421895', 'Q330120']"
N20608,"['Q108058', 'Q2430009', 'Q94873']"
N56623,['Q1345']
N63306,"['Q219714', 'Q7103181', 'Q685723']"
N33391,['Q591678']
N5011,"['Q18637970', 'Q721134']"
N26292,"['Q1211586', 'Q933516', 'Q1581']"
N55576,['Q2301114']
N7211,"['Q21620665', 'Q320476']"
N23649,"['Q1452225', 'Q943775']"
N24720,['Q1400']
N9234,"['Q48976908', 'Q223511']"
N27377,"['Q337377', 'Q276539', 'Q18389154']"
N34558,"['Q788822', 'Q34651', 'Q16563']"
N22073,[]
N61618,"['Q1077594', 'Q22686', 'Q7949496', 'Q212648']"
N64504,"['Q951872', 'Q4599311']"
N9068,"['Q219714', 'Q221150', 'Q2846726']"
N33962,"['Q1215884', 'Q16950836']"
N56282,"['Q213837', 'Q223522']"
N33263,"['Q7984649', 'Q2495519', 'Q36', 'Q19716893']"
N33233,"['Q272059', 'Q5214234']"
N6757,"['Q337377', 'Q1215884']"
N16113,"['Q6550756', 'Q3564690', 'Q18426', 'Q328473']"
N51412,['Q23685']
N9266,"['Q517545', 'Q1193671']"
N55114,"['Q7852348', 'Q44989']"
N6462,"['Q7129523', 'Q7246577', 'Q8646']"
N27000,"['Q204862', 'Q219602']"
N18134,"['Q35', 'Q1748', 'Q3390724', 'Q20', 'Q585']"
N30726,"['Q3154693', 'Q49259', 'Q63327']"
N22732,[]
N17001,['Q7751774']
N59231,"['Q327416', 'Q164119']"
N38713,"['Q848117', 'Q265538', 'Q825838']"
N58113,"['Q1370', 'Q50101017', 'Q13647764', 'Q863259']"
N4795,"['Q5178717', 'Q5161630', 'Q33486']"
N23473,[]
N48844,"['Q3304418', 'Q152316']"
N8201,['Q355']
N16479,"['Q337377', 'Q1215884', 'Q990430', 'Q221878']"
N65235,['Q915760']
N10617,"['Q148', 'Q318204', 'Q1137062']"
N5851,"['Q79', 'Q801', 'Q4918', 'Q8092']"
N18759,[]
N22130,['Q36844']
N15235,[]
N9667,"['Q848117', 'Q14327265']"
N24317,"['Q958728', 'Q848117', 'Q213417']"
N19101,"['Q2766', 'Q23183', 'Q1235894', 'Q56194']"
N29872,['Q2813']
N44343,['Q43794']
N26294,[]
N40749,['Q7687701']
N61766,"['Q328473', 'Q6451509', 'Q18419']"
N40902,"['Q1813203', 'Q1945786', 'Q786878', 'Q3090307', 'Q380900', 'Q66096', 'Q48938223', 'Q11268']"
N15292,['Q17015139']
N33556,"['Q15877245', 'Q38300756', 'Q7786369']"
N19585,"['Q272223', 'Q3693433', 'Q223511']"
N33988,['Q985348']
N58851,"['Q2408759', 'Q203633']"
N60153,"['Q212', 'Q7079258', 'Q1065320', 'Q1553390', 'Q22686', 'Q11268']"
N48158,"['Q1370', 'Q592576', 'Q1371']"
N2888,"['Q735015', 'Q33190271', 'Q30', 'Q2429253', 'Q858', 'Q21096224']"
N5285,"['Q1093629', 'Q743309']"
N19233,['Q5162259']
N15288,"['Q37158', 'Q1345']"
N12117,"['Q6413738', 'Q30113', 'Q38022', 'Q1046867', 'Q6413721', 'Q1129521']"
N41995,"['Q138089', 'Q164177', 'Q1634115']"
N53624,"['Q3564859', 'Q17509943', 'Q16949079']"
N28556,"['Q4117596', 'Q431254', 'Q1752284']"
N50226,"['Q35525', 'Q212', 'Q29468', 'Q22686']"
N63166,[]
N59331,"['Q99', 'Q409230']"
N54006,"['Q1439', 'Q16557']"
N64932,"['Q1342', 'Q355']"
N62757,[]
N1976,"['Q24809702', 'Q5386361', 'Q221878', 'Q276539']"
N55164,"['Q204862', 'Q838284']"
N59927,[]
N52633,"['Q94965', 'Q3564859', 'Q1339582', 'Q133857', 'Q1022954', 'Q6837707']"
N22928,"['Q131371', 'Q58974788', 'Q162990']"
N62718,"['Q60', 'Q391359']"
N30641,['Q869']
N230,['Q280012']
N17310,"['Q4268', 'Q30', 'Q733742']"
N58225,"['Q848117', 'Q825838', 'Q61']"
N45770,[]
N25312,['Q907311']
N8705,"['Q268873', 'Q708633', 'Q36794', 'Q28448398', 'Q208447', 'Q258851']"
N4880,"['Q108067', 'Q18013', 'Q7573570']"
N59585,['Q2614241']
N10033,['Q186012']
N56650,"['Q62', 'Q824', 'Q5138257', 'Q232264']"
N29592,"['Q7452402', 'Q399983']"
N45399,"['Q4908389', 'Q5048309']"
N18078,[]
N46353,"['Q1088765', 'Q204862', 'Q190618', 'Q10862290']"
N2625,"['Q29468', 'Q30015089', 'Q22686']"
N12965,[]
N60498,"['Q11701', 'Q22686']"
N27118,"['Q84', 'Q95']"
N50455,['Q22686']
N19808,"['Q223514', 'Q193753', 'Q3809692', 'Q4910371']"
N47755,"['Q38076', 'Q7952573']"
N48050,['Q264']
N30662,['Q1777174']
N40448,['Q4572296']
N58108,"['Q1242804', 'Q1006586']"
N52260,"['Q2622812', 'Q19667998', 'Q213837', 'Q6952794', 'Q223522']"
N42865,"['Q736574', 'Q2347975', 'Q4159021', 'Q521145']"
N64681,"['Q30', 'Q1223']"
N59180,"['Q2846724', 'Q839078', 'Q3099714']"
N57168,"['Q1138235', 'Q152108', 'Q5161167']"
N40826,"['Q426594', 'Q1297', 'Q273055']"
N24300,['Q1540773']
N54556,"['Q1753129', 'Q29552', 'Q22686', 'Q20871878', 'Q463345', 'Q16557', 'Q1439']"
N7363,['Q629194']
N63594,"['Q825838', 'Q61']"
N43660,"['Q99', 'Q181185']"
N31795,"['Q62', 'Q6390103']"
N13230,['Q49255']
N21248,"['Q213959', 'Q17385826']"
N41811,['Q3295000']
N22163,[]
N50580,"['Q398141', 'Q1527']"
N25644,"['Q16558', 'Q15993540']"
N7558,"['Q2622346', 'Q782']"
N25870,['Q126599']
N54075,['Q2614241']
N51395,['Q1071109']
N39557,"['Q4992164', 'Q83287', 'Q130853', 'Q34086']"
N45073,"['Q204862', 'Q190618', 'Q16235747']"
N63600,"['Q918', 'Q1114667']"
N11979,"['Q35525', 'Q29552', 'Q22686']"
N39582,"['Q6346', 'Q512965', 'Q186545', 'Q1415', 'Q928670', 'Q6940232']"
N18773,[]
N48904,['Q50506085']
N64061,['Q506754']
N4904,['Q16568']
N26288,['Q844837']
N6606,['Q380613']
N24392,"['Q1489', 'Q16556']"
N35516,['Q5211353']
N3730,"['Q1783815', 'Q2283', 'Q35794', 'Q18185763', 'Q19593']"
N62471,"['Q944845', 'Q212654']"
N23328,"['Q99', 'Q23548']"
N5863,"['Q731168', 'Q1391']"
N19921,"['Q7948262', 'Q17004870', 'Q41819', 'Q1581']"
N27678,"['Q455752', 'Q7205810']"
N12395,"['Q52590967', 'Q3807426', 'Q5300814']"
N37966,[]
N34599,['Q485708']
N54465,"['Q132345', 'Q243185']"
N42100,"['Q16557', 'Q429050']"
N5659,[]
N1153,"['Q6392428', 'Q629973', 'Q39070726']"
N25324,[]
N62378,"['Q565237', 'Q30323656']"
N8684,"['Q2859108', 'Q223243', 'Q337377']"
N34846,['Q647404']
N19022,['Q5636306']
N20125,"['Q94639', 'Q94689', 'Q788759']"
N44586,"['Q50231', 'Q8646']"
N37901,"['Q5287', 'Q10993', 'Q60987711']"
N10882,['Q16565']
N16030,[]
N50846,"['Q5161472', 'Q779', 'Q1425056', 'Q306966']"
N27830,[]
N4000,"['Q668642', 'Q565237', 'Q30323656', 'Q285450']"
N45245,"['Q448961', 'Q4621892', 'Q219602']"
N15261,"['Q432105', 'Q80733', 'Q194121']"
N10348,"['Q5083', 'Q3414933']"
N23604,['Q994762']
N46077,"['Q1770624', 'Q13605596']"
N51294,"['Q2877626', 'Q212648', 'Q13974']"
N52921,"['Q1641728', 'Q30', 'Q482993']"
N18663,"['Q16552', 'Q98']"
N41484,"['Q16203668', 'Q11399', 'Q3884', 'Q668', 'Q16', 'Q29', 'Q142', 'Q38', 'Q183', 'Q145']"
N36934,"['Q41148', 'Q142', 'Q456', 'Q56094', 'Q47703']"
N23150,"['Q191477', 'Q26132256']"
N41969,[]
N19093,"['Q40053', 'Q1397', 'Q501542']"
N47801,"['Q148', 'Q29552', 'Q40469', 'Q22686', 'Q2429253', 'Q36091']"
N25768,"['Q5287', 'Q2029146', 'Q16300222']"
N19179,"['Q641212', 'Q16563', 'Q215546', 'Q2280497']"
N36879,"['Q48976908', 'Q129605', 'Q223511']"
N12771,[]
N43983,['Q484294']
N62182,['Q22686']
N28244,"['Q223527', 'Q14950655', 'Q2947411']"
N27033,['Q6988109']
N13461,[]
N6436,"['Q3132837', 'Q13424289']"
N22598,"['Q309331', 'Q29552', 'Q8058060']"
N37598,"['Q18207338', 'Q1021348', 'Q7389710', 'Q332448', 'Q781384']"
N8726,['Q1297']
N43545,"['Q639115', 'Q5214174']"
N29690,[]
N36352,"['Q265538', 'Q744530']"
N59761,[]
N1055,"['Q918', 'Q10368401', 'Q2404977']"
N44119,['Q20716']
N6431,"['Q223522', 'Q18387563']"
N31605,"['Q8354836', 'Q6721719']"
N10872,"['Q2739748', 'Q130838']"
N29179,"['Q99', 'Q824']"
N16039,['Q5303728']
N4208,"['Q56486914', 'Q1760078', 'Q5643122']"
N54839,['Q653772']
N7708,"['Q3564859', 'Q1022954', 'Q3517772']"
N64463,"['Q690830', 'Q816']"
N32186,"['Q517545', 'Q265538', 'Q825838']"
N2411,"['Q191477', 'Q272220', 'Q6952794', 'Q61964196']"
N27265,"['Q21010037', 'Q985253', 'Q5020362']"
N4855,"['Q30', 'Q100', 'Q11424']"
N45031,"['Q48791055', 'Q2092814']"
N624,"['Q3273288', 'Q128114']"
N55948,"['Q463557', 'Q29552', 'Q16476', 'Q1813203', 'Q7314656', 'Q380900', 'Q66096']"
N14883,['Q4677563']
N49280,"['Q29545', 'Q2614593', 'Q217776', 'Q157376', 'Q29342', 'Q352159']"
N42435,"['Q60', 'Q18097962', 'Q22673974']"
N60416,"['Q7241913', 'Q613569', 'Q772640', 'Q459096', 'Q3532339', 'Q194121']"
N35023,"['Q936505', 'Q28993', 'Q192152']"
N1462,"['Q5571889', 'Q55241']"
N7253,"['Q944845', 'Q212654', 'Q7630287']"
N53814,['Q1415']
N29526,"['Q13974', 'Q7098695', 'Q180453', 'Q83440']"
N6037,"['Q423', 'Q56226', 'Q22686']"
N58442,['Q608761']
N20151,"['Q1592284', 'Q365', 'Q183']"
N44625,[]
N45468,"['Q12439', 'Q825838']"
N53354,['Q30113']
N24845,"['Q223514', 'Q18159104', 'Q217776', 'Q289678']"
N10678,"['Q572134', 'Q23542695', 'Q172339']"
N18187,['Q875749']
N3999,"['Q3567445', 'Q1297']"
N54769,"['Q128375', 'Q1439', 'Q16557', 'Q19716893']"
N56183,"['Q43196', 'Q5120360']"
N44328,"['Q223243', 'Q23302933', 'Q217776', 'Q191477', 'Q30122187']"
N38238,"['Q204862', 'Q14950080', 'Q190618']"
N54637,['Q1758777']
N6618,"['Q37836', 'Q5119809', 'Q1370167']"
N13365,"['Q29552', 'Q5092', 'Q934898', 'Q1391']"
N326,"['Q38022', 'Q5096289', 'Q4103048']"
N18791,"['Q250062', 'Q7186956']"
N26411,"['Q8652', 'Q94967']"
N23035,['Q483118']
N54894,"['Q193390', 'Q1215884']"
N29716,['Q170484']
N43520,"['Q463465', 'Q194907', 'Q17884']"
N53642,"['Q496197', 'Q7988113']"
N57347,"['Q48977107', 'Q1509']"
N43913,[]
N10778,['Q60588820']
N6367,[]
N26257,"['Q53758999', 'Q337758', 'Q224164']"
